board,refs,qty,manufacturer,mpn,description,package_or_value,key_requirement,alternate,alternate_qualification,lifecycle_risk,status_source
wand,F1,1,Bourns,MF-FSMF050X-2,Resettable USB input fuse,0603,Hold current and trip curve to be validated,0ZCM0050FF2G,Trip/thermal requalification,Medium,Manufacturer data sheet gate
receiver,U1,1,u-blox,NINA-B302-00B-00,BLE module with internal PIFA,55-pin LGA,Same module governance as wand,NINA-B306-00B-00,Not drop-in antenna/mechanical change,Medium,UBX-NINA-B3-DS-R15
receiver,U2,1,Texas Instruments,TPS62162DSGR,Fixed 3.3 V 1 A buck,WSON-8 DSG,Exposed pad soldered and fixed-output connection,TPS62901,New schematic/layout/inductor compensation review,Medium; newer function available,TI-TPS62162-SLVSAJ1E
receiver,"U3,U4",2,Texas Instruments,SN74LVC2T45DCUR,Dual-bit dual-supply translators,VSSOP-8 DCU,VCCA 3.3 V; VCCB external 3.3/5 V VREF; no OE pin,SN74LVC2T45DCTR,Package change if suffix differs; otherwise same die,Low; active,TI-SN74LVC2T45-SCES516N
receiver,U5,1,Toshiba,"TLP291(GB-TP,SE",Phototransistor optocoupler,SO4,Official Toshiba ordering example intentionally uses this syntax; GB CTR rank and TP tape; agency option and current orderability still require procurement confirmation,TLP291-4,Not footprint compatible; channel/package review,Medium; base TLP291 is NRND so SE status must be reconfirmed,TOSHIBA-TLP291-SE-DS
receiver,Q1,1,Texas Instruments,CSD17313Q2,30 V N-MOSFET,SON 2x2 mm,3.3 V gate behavior and thermal copper,CSD17318Q2,Pin-compatible candidate but requalify Rds/charge/thermal,Low; active,TI-CSD17313Q2-SLPS260E
receiver,U6,1,STMicroelectronics,USBLC6-2SC6,USB 2.0 ESD protection,SOT23-6,Connector-adjacent placement,TPD2EUSB30DRTR,SI/footprint/clamp requalification,Low,ST-USBLC6-2-DS4260-R7
receiver,J1,1,JAE,DX07S016JA1R1500,USB-C USB2 receptacle,16-position SMT,Power/service input only,USB4105-GF-A,Footprint/shell requalification,Medium,Manufacturer drawing recheck gate
receiver,J2,1,TE Connectivity,1-1734592-5,5-pin signal header,1.27 mm SMT,VREF_IO GND UART TX RX PWM,DF13-5P-1.25H,Footprint/cable requalification,Low,Manufacturer drawing recheck gate
receiver,J3,1,TE Connectivity,282834-2,2-pin isolated-output terminal,2.54 mm TH,Only low-voltage external input circuit,691137710002,Pitch/current/creepage review,Low,Manufacturer drawing recheck gate
receiver,J4,1,TE Connectivity,282834-3,3-pin load terminal,2.54 mm TH,5-12 V 1 A EVT limit,691137710003,Pitch/current/thermal review,Medium,Manufacturer drawing recheck gate
receiver,L1,1,Coilcraft,XFL4020-222MEC,2.2 uH buck inductor,4.0x4.0 mm,Validate TPS62162 reference values,LQH44PN2R2MP0L,Power/thermal/layout requalification,Low,TI-TPS62162-SLVSAJ1E
receiver,D1,1,Diodes Incorporated,SS24,2 A 40 V Schottky flyback diode,SMB,Fit only for reviewed inductive load and polarity,PMEG4030ER,Waveform/current/thermal requalification,Low,Manufacturer data sheet gate
receiver,D2,1,Littelfuse,SMBJ15A,Unidirectional TVS option,SMB,DNF until load/supply transient characterized,SMAJ15A,Clamp/energy requalification,Low,Design option
receiver,"R_CC1,R_CC2",2,Yageo,RC0402FR-075K1L,USB-C Rd resistors,0402 5.1 kOhm 1%,Independent CC terminations,CRCW04025K10FKED,Equivalent tolerance,Low,USBIF-TYPEC-R2-5
receiver,"R_OPTO,R_GATE,R_GATE_PD,R_TX,R_PWM,R_TX_PD,R_PWM_PD,R_RX_PD",8,Yageo,RC0402-series,Logic/gate resistors,0402 assorted,430 Ohm LED; 33 Ohm series; 100 kOhm pulldowns,Vishay CRCW series,Value-by-reference check at capture,Low,Connectivity source of truth
receiver,"C_U2_IN,C_U2_OUT,C_U1_BULK",3,Murata,GRM21BR61A106KE19L,Ceramic capacitors,0805 10 uF 10 V X5R,Effective capacitance review,CL21A106KPFNNNE,DC-bias requalification,Low,Cited IC data sheets
receiver,"C_DECOUPLING",8,Murata,GRM155R71C104KA88D,Ceramic decoupling,0402 100 nF 16 V X7R,One at each IC supply/translator rail,CC0402KRX7R7BB104,Equivalent dielectric/voltage,Low,Cited IC data sheets
