uid,domain,assembly,source_identifier,refs,quantity,manufacturer,manufacturer_part_number,description,specification,process_or_package,make_buy,unit_price_cny,extended_price_cny,price_status,source_path
ELEC:receiver:U1,electronics,receiver,E023,U1,1,u-blox,NINA-B302-00B-00,BLE module with internal PIFA,Same module governance as wand,55-pin LGA,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:receiver:U2,electronics,receiver,E024,U2,1,Texas Instruments,TPS62162DSGR,Fixed 3.3 V 1 A buck,Exposed pad soldered and fixed-output connection,WSON-8 DSG,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
"ELEC:receiver:U3,U4",electronics,receiver,E025,"U3,U4",2,Texas Instruments,SN74LVC2T45DCUR,Dual-bit dual-supply translators,VCCA 3.3 V; VCCB external 3.3/5 V VREF; no OE pin,VSSOP-8 DCU,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:receiver:U5,electronics,receiver,E026,U5,1,Toshiba,"TLP291(GB-TP,SE",Phototransistor optocoupler,Official Toshiba ordering example intentionally uses this syntax; GB CTR rank and TP tape; agency option and current orderability still require procurement confirmation,SO4,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:receiver:Q1,electronics,receiver,E027,Q1,1,Texas Instruments,CSD17313Q2,30 V N-MOSFET,3.3 V gate behavior and thermal copper,SON 2x2 mm,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:receiver:U6,electronics,receiver,E028,U6,1,STMicroelectronics,USBLC6-2SC6,USB 2.0 ESD protection,Connector-adjacent placement,SOT23-6,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:receiver:J1,electronics,receiver,E029,J1,1,JAE,DX07S016JA1R1500,USB-C USB2 receptacle,Power/service input only,16-position SMT,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:receiver:J2,electronics,receiver,E030,J2,1,TE Connectivity,1-1734592-5,5-pin signal header,VREF_IO GND UART TX RX PWM,1.27 mm SMT,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:receiver:J3,electronics,receiver,E031,J3,1,TE Connectivity,282834-2,2-pin isolated-output terminal,Only low-voltage external input circuit,2.54 mm TH,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:receiver:J4,electronics,receiver,E032,J4,1,TE Connectivity,282834-3,3-pin load terminal,5-12 V 1 A EVT limit,2.54 mm TH,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:receiver:L1,electronics,receiver,E033,L1,1,Coilcraft,XFL4020-222MEC,2.2 uH buck inductor,Validate TPS62162 reference values,4.0x4.0 mm,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:receiver:D1,electronics,receiver,E034,D1,1,Diodes Incorporated,SS24,2 A 40 V Schottky flyback diode,Fit only for reviewed inductive load and polarity,SMB,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:receiver:D2,electronics,receiver,E035,D2,1,Littelfuse,SMBJ15A,Unidirectional TVS option,DNF until load/supply transient characterized,SMB,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
"ELEC:receiver:R_CC1,R_CC2",electronics,receiver,E036,"R_CC1,R_CC2",2,Yageo,RC0402FR-075K1L,USB-C Rd resistors,Independent CC terminations,0402 5.1 kOhm 1%,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
"ELEC:receiver:R_OPTO,R_GATE,R_GATE_PD,R_TX,R_PWM,R_TX_PD,R_PWM_PD,R_RX_PD",electronics,receiver,E037,"R_OPTO,R_GATE,R_GATE_PD,R_TX,R_PWM,R_TX_PD,R_PWM_PD,R_RX_PD",8,Yageo,RC0402-series,Logic/gate resistors,430 Ohm LED; 33 Ohm series; 100 kOhm pulldowns,0402 assorted,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
"ELEC:receiver:C_U2_IN,C_U2_OUT,C_U1_BULK",electronics,receiver,E038,"C_U2_IN,C_U2_OUT,C_U1_BULK",3,Murata,GRM21BR61A106KE19L,Ceramic capacitors,Effective capacitance review,0805 10 uF 10 V X5R,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
ELEC:receiver:C_DECOUPLING,electronics,receiver,E039,C_DECOUPLING,8,Murata,GRM155R71C104KA88D,Ceramic decoupling,One at each IC supply/translator rail,0402 100 nF 16 V X7R,buy,,,unknown_not_quoted_order_time_recheck,projects/magic-wand/electronics/bom.csv
